Fecha,Cantidad
2015-12-21,73
2015-12-22,76
2015-12-23,94
2015-12-24,63
2015-12-25,48
2015-12-26,64
2015-12-27,48
2015-12-28,73
2015-12-29,81
2015-12-30,97
2015-12-31,65
2016-01-01,91
2016-01-02,106
2016-01-03,66
2016-01-04,93
2016-01-05,85
2016-01-06,89
2016-01-07,116
2016-01-08,101
2016-01-09,97
2016-01-10,72
2016-01-11,90
2016-01-12,91
2016-01-13,93
2016-01-14,99
2016-01-15,104
2016-01-16,93
2016-01-17,86
2016-01-18,89
2016-01-19,104
2016-01-20,103
2016-01-21,89
2016-01-22,124
2016-01-23,91
2016-01-24,83
2016-01-25,99
2016-01-26,90
2016-01-27,91
2016-01-28,89
2016-01-29,97
2016-01-30,102
2016-01-31,85
2016-02-01,54
2016-02-02,92
2016-02-03,84
2016-02-04,91
2016-02-05,81
2016-02-06,83
2016-02-07,85
2016-02-08,88
2016-02-09,84
2016-02-10,59
2016-02-11,96
2016-02-12,80
2016-02-13,73
2016-02-14,81
2016-02-15,81
2016-02-16,85
2016-02-17,82
2016-02-18,90
2016-02-19,90
2016-02-20,94
2016-02-21,77
2016-02-22,91
2016-02-23,86
2016-02-24,65
2016-02-25,89
2016-02-26,85
2016-02-27,83
2016-02-28,83
2016-02-29,69
2016-03-01,75
2016-03-02,84
2016-03-03,113
2016-03-04,79
2016-03-05,71
2016-03-06,62
2016-03-07,84
2016-03-08,98
2016-03-09,74
2016-03-10,89
2016-03-11,109
2016-03-12,63
2016-03-13,76
2016-03-14,84
2016-03-15,64
2016-03-16,74
2016-03-17,81
2016-03-18,99
2016-03-19,88
2016-03-20,73
2016-03-21,62
2016-03-22,74
2016-03-23,70
2016-03-24,50
2016-03-25,40
2016-03-26,73
2016-03-27,73
2016-03-28,90
2016-03-29,85
2016-03-30,80
2016-03-31,75
2016-04-01,69
2016-04-02,73
2016-04-03,76
2016-04-04,93
2016-04-05,65
2016-04-06,92
2016-04-07,78
2016-04-08,103
2016-04-09,76
2016-04-10,104
2016-04-11,104
2016-04-12,79
2016-04-13,86
2016-04-14,83
2016-04-15,94
2016-04-16,76
2016-04-17,69
2016-04-18,75
2016-04-19,74
2016-04-20,92
2016-04-21,95
2016-04-22,72
2016-04-23,81
2016-04-24,66
2016-04-25,76
2016-04-26,78
2016-04-27,92
2016-04-28,72
2016-04-29,84
2016-04-30,96
2016-05-01,86
2016-05-02,112
2016-05-03,101
2016-05-04,81
2016-05-05,93
2016-05-06,78
2016-05-07,71
2016-05-08,107
2016-05-09,114
2016-05-10,97
2016-05-11,87
2016-05-12,85
2016-05-13,79
2016-05-14,105
2016-05-15,85
2016-05-16,87
2016-05-17,87
2016-05-18,77
2016-05-19,89
2016-05-20,72
2016-05-21,73
2016-05-22,88
2016-05-23,98
2016-05-24,89
2016-05-25,90
2016-05-26,76
2016-05-27,96
2016-05-28,87
2016-05-29,57
2016-05-30,73
2016-05-31,85
2016-06-01,97
2016-06-02,97
2016-06-03,70
2016-06-04,82
2016-06-05,87
2016-06-06,64
2016-06-07,92
2016-06-08,92
2016-06-09,109
2016-06-10,84
2016-06-11,86
2016-06-12,87
2016-06-13,91
2016-06-14,80
2016-06-15,96
2016-06-16,96
2016-06-17,98
2016-06-18,101
2016-06-19,91
2016-06-20,88
2016-06-21,65
2016-06-22,86
2016-06-23,83
2016-06-24,81
2016-06-25,94
2016-06-26,87
2016-06-27,94
2016-06-28,76
2016-06-29,87
2016-06-30,96
2016-07-01,98
2016-07-02,89
2016-07-03,70
2016-07-04,70
2016-07-05,107
2016-07-06,80
2016-07-07,95
2016-07-08,86
2016-07-09,83
2016-07-10,73
2016-07-11,64
2016-07-12,83
2016-07-13,75
2016-07-14,98
2016-07-15,98
2016-07-16,78
2016-07-17,84
2016-07-18,98
2016-07-19,79
2016-07-20,65
2016-07-21,88
2016-07-22,84
2016-07-23,85
2016-07-24,83
2016-07-25,97
2016-07-26,81
2016-07-27,108
2016-07-28,80
2016-07-29,77
2016-07-30,78
2016-07-31,72
2016-08-01,79
2016-08-02,82
2016-08-03,90
2016-08-04,94
2016-08-05,74
2016-08-06,89
2016-08-07,100
2016-08-08,112
2016-08-09,83
2016-08-10,92
2016-08-11,77
2016-08-12,83
2016-08-13,99
2016-08-14,109
2016-08-15,87
